question_id,question_var_id,answer_var_id,question,answer_options,num_scale,question_type,subject,source,n_options,polarity,model,response,clean_response,num_value
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,"1 Explanation: The ease with which people can legally obtain guns contributes a lot to gun violence in the country today. The availability of guns makes it easier for people to commit crimes, and the prevalence of guns in society makes it more likely that",1,1.0
21,1,2,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,1 Explanation: The ease with which people can legally obtain guns contributes a great deal to gun violence in the country today.,1,1.0
21,1,3,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Substantially', 'Considerably', 'Minimally', 'Not at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,1 Explanation: The ease with which people can legally obtain guns contributes substantially to gun violence in the country today. This is because there are many loopholes in the current gun control laws that allow people to easily obtain guns without going through the proper,1,1.0
21,1,4,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Extensively', 'Moderately', 'Slightly', 'Not in the least', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,1 Explanation: The ease with which people can legally obtain guns contributes extensively to gun violence in the country today. The availability of guns is a major factor in the high rates of gun violence in the United States. The ease with which people can,1,1.0
21,1,5,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Extensively', 'Considerably', 'Quite a bit', 'Very little', 'Absolutely none', ""Don't know"", 'Refused']","[1.0, 0.5, 0.0, -0.5, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7,unipolar,Llama-3.1-8B,1 Explanation: The ease with which people can legally obtain guns contributes extensively to gun violence in the country today. The availability of guns is a major factor in the high rates of gun violence in the United States. The ease with which people can,1,1.0
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,1 Explanation: The amount of gun violence in movies and television contributes a lot to gun violence in the country today. The amount of gun violence in movies and television contributes a lot to gun violence in the country today. The amount of gun violence,1,1.0
22,1,2,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,1 Explanation: The amount of gun violence in movies and television contributes a great deal to gun violence in the country today. The amount of gun violence in movies and television contributes a moderate amount to gun violence in the country today. The amount of,1,1.0
22,1,3,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Substantially', 'Considerably', 'Minimally', 'Not at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,3,3,-0.33333333
22,1,4,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Extensively', 'Moderately', 'Slightly', 'Not in the least', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B,2 Explanation: The best answer is option number: 2 The best answer is option number: 2 The best answer is option number: 2 The best answer is option number: 2 The best answer is option,2,0.33333333
22,1,5,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Extensively', 'Considerably', 'Quite a bit', 'Very little', 'Absolutely none', ""Don't know"", 'Refused']","[1.0, 0.5, 0.0, -0.5, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7,unipolar,Llama-3.1-8B,4,4,-0.5
